0
"['i', 've', 'watch', 'episode', 's02', 'e02', 'night', 'intothenight']"
"['i', 've', 'watch', 'episode', 's02', 'e01', 'night', 'intothenight']"
"['healthylifestyle', 'intothefog', 'intothewildwithajay', 'intothenight', 'intotheabysstonight', 'into1patrick', 'who', 's', 'the']"
"['people', 'love', 'show', 'talent', 'intothefog', 'intothewildwithajay', 'intothenight']"
"['i', 've', 'watch', 'episode', 's02', 'e06', 'night', 'intothenight']"
"['i', 've', 'watch', 'episode', 's02', 'e05', 'night', 'intothenight']"
"['intothenightmare', 'intothewoods', 'intothewildwithajay', 'intothefog', 'intothenight', 'intothering', 'intothewild']"
"['artificial', 'intelligence', 'call', 'god', 'intothenightmare', 'intothering', 'intothenight', 'wtf']"
"['fitbit', 'make', 'way', 'intothenight', 'dim', 'light', 'moon', 'goodnight']"
"['i', 've', 'watch', 'episode', 's02', 'e04', 'night', 'intothenight']"
"['intothewild', 'intothenight', 'intothefog', 'intothewoods', 'intotheunknown', 'intothedeeptour', 'intotheabysstonight', 'n']"
"['intothewild', 'intothenight', 'intothefog', 'intothewoods', 'intotheunknown', 'intothedeeptourpeople']"
"['i', 've', 'watch', 'episode', 's02', 'e03', 'night', 'intothenight']"
"['watch', 'night', 'ted', 'lasso', 'call', 'balance', 'intothenight', 'netflix', 'tedlasso', 'appletvplus']"
"['i', 've', 'watch', 'episode', 's02', 'e06', 'night', 'intothenight']"
"['i', 've', 'watch', 'episode', 's02', 'e06', 'night', 'intothenight']"
"['blind', 'chick', 'always', 'sleep', 'different', 'guy', 'intothenight', 'tiwasavage', 'humpdayvibes']"
"['night', 'champagne', 'toast', 'top', 'tier', 'bath', 'body', 'work', 'scent', 'bathandbodyworks', 'intothenight', 'champagnetoast']"
"['sylvie', 'leader', 'intothenight', 'paulineetienne']"
"['bath', 'body', 'work', 'new', 'fragrance', 'love', 'obw', 'whiteynation', 'mustbuy', 'intothenight']"
"['i', 've', 'watch', 'episode', 's02', 'e06', 'night', 'intothenight']"
"['night', 'netflix', 'good', 'hope', 'therell', 's3', 'netflix', 'intothenight']"
"['i', 've', 'watch', 'episode', 's02', 'e05', 'night', 'intothenight']"
"['german', 'car', 'german', 'driver', 'mercedes', 'intothenight']"
"['i', 've', 'watch', 'episode', 's02', 'e04', 'night', 'intothenight']"
"['i', 've', 'watch', 'episode', 's02', 'e03', 'night', 'intothenight']"
"['i', 've', 'watch', 'episode', 's02', 'e02', 'night', 'intothenight']"
